,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
222,25-Nov-2011,4731.3,4767.3,4693.1,4710.05,162839558,5812.61
223,28-Nov-2011,4769.3,4859.1,4766.4,4851.3,145259101,4869.41
224,29-Nov-2011,4864.2,4866.1,4787.1,4805.1,155570321,5786.83
225,30-Nov-2011,4766.15,4851.55,4754.8,4832.05,282217865,11393.19
226,01-Dec-2011,4970.85,5011.9,4916.7,4936.85,183915785,6699.33
227,02-Dec-2011,4940.85,5062.55,4918.4,5050.15,180190935,6527.43
228,05-Dec-2011,5036.5,5055.4,5002.55,5039.15,137254409,4689.58
229,07-Dec-2011,5050.1,5099.25,5032.25,5062.6,169428273,6005.21
230,08-Dec-2011,5037.4,5049.05,4921.45,4943.65,178853365,6029.68
231,09-Dec-2011,4870.75,4918.35,4841.75,4866.7,173612823,6040.22
232,12-Dec-2011,4906.85,4910.25,4755.55,4764.6,178338170,5926.0
233,13-Dec-2011,4733.6,4824.7,4728.5,4800.6,181043707,5816.38
234,14-Dec-2011,4788.7,4839.55,4750.4,4763.25,176252160,6324.86
235,15-Dec-2011,4712.8,4768.65,4673.85,4746.35,200317864,6976.68
236,16-Dec-2011,4752.5,4818.85,4628.2,4651.6,202060039,7284.93
237,19-Dec-2011,4623.15,4623.15,4555.9,4613.1,176447660,6302.29
238,20-Dec-2011,4635.8,4637.25,4531.15,4544.2,195304596,6279.01
239,21-Dec-2011,4636.45,4707.35,4601.95,4693.15,211310871,6689.82
240,22-Dec-2011,4636.9,4740.6,4632.95,4733.85,170789015,6017.0
241,23-Dec-2011,4763.2,4763.45,4693.2,4714.0,141982548,4676.75
242,26-Dec-2011,4718.15,4787.25,4718.15,4779.0,90847991,3034.39
243,27-Dec-2011,4780.2,4800.5,4723.65,4750.5,104828343,3342.15
244,28-Dec-2011,4756.2,4756.2,4685.65,4705.8,117463489,3657.52
245,29-Dec-2011,4681.15,4701.8,4639.05,4646.25,146003804,5137.28
246,30-Dec-2011,4659.95,4690.45,4608.9,4624.3,113900727,3785.33
0,02-Jan-2012,4640.2,4645.95,4588.05,4636.75,108460668,3590.96
1,03-Jan-2012,4675.8,4773.1,4675.8,4765.3,146621115,5021.29
2,04-Jan-2012,4774.95,4782.85,4728.85,4749.65,165938849,5661.16
3,05-Jan-2012,4749.0,4779.8,4730.15,4749.95,177862936,5873.79
4,06-Jan-2012,4724.15,4794.9,4686.85,4754.1,176057282,5234.69
5,07-Jan-2012,4755.6,4759.4,4743.05,4746.9,18783880,414.88
6,09-Jan-2012,4747.55,4758.7,4695.45,4742.8,147534537,4548.3
7,10-Jan-2012,4771.85,4855.9,4768.25,4849.55,201661174,6222.27
8,11-Jan-2012,4863.15,4877.2,4841.6,4860.95,209079758,6364.0
9,12-Jan-2012,4840.95,4869.2,4803.9,4831.25,183068697,7271.44
10,13-Jan-2012,4861.95,4898.85,4834.2,4866.0,230940604,7117.5
11,16-Jan-2012,4844.0,4880.8,4827.05,4873.9,160479891,5297.89
12,17-Jan-2012,4904.5,4975.55,4904.0,4967.3,223004183,7170.72
13,18-Jan-2012,4977.75,4980.65,4931.05,4955.8,211198796,7424.79
14,19-Jan-2012,4995.0,5023.8,4991.4,5018.4,203487608,6634.33
15,20-Jan-2012,5044.85,5064.15,5004.3,5048.6,221048007,8120.35
16,23-Jan-2012,5025.35,5059.55,5021.35,5046.25,158177571,5934.04
17,24-Jan-2012,5064.8,5141.05,5049.8,5127.35,202006565,8172.43
18,25-Jan-2012,5151.5,5174.15,5130.25,5158.3,219175709,8156.04
19,27-Jan-2012,5216.75,5217.0,5162.4,5204.7,215923377,7881.15
20,30-Jan-2012,5163.55,5166.15,5076.7,5087.3,181141437,6181.32
21,31-Jan-2012,5125.25,5215.4,5120.15,5199.25,215770719,8075.54
22,01-Feb-2012,5198.15,5244.6,5159.0,5235.7,234899358,8066.68
23,02-Feb-2012,5272.1,5289.95,5225.75,5269.9,337960651,11126.39
24,03-Feb-2012,5276.1,5334.85,5255.55,5325.85,217358188,7573.02
25,06-Feb-2012,5379.45,5390.05,5327.25,5361.65,215080487,7703.06
